"pais";"Location";"alpha.2";"lng";"lat"
"Japan";"SATSUMASENDAI";"JP";"130.3";"31.81667"
"Japan";"SHIKA-MACHI";"JP";"136.77152";"37.08918"
"Japan";"MATSUE";"JP";"133.05";"35.48333"
"Japan";"TAKAHAMA";"JP";"136.98333";"34.91667"
"Japan";"TOKAI MURA";"JP";"140.56667";"36.46667"
"Japan";"TOMARI VILLAGE";"JP";NA;NA
"Japan";"TSURUGA CITY";"JP";NA;NA
"Japan";"Higashidori-mura";"JP";"141.46161";"41.43098"
"Kazakhstan";"MANGYSTAU";"KZ";"53.33333";"44.5"
"Korea, Republic of";"Gijang-gun";"KR";"129.20076";"35.29721"
"Korea, Republic of";"Ulchin-gun";"KR";"129.31966";"36.91968"
"Korea, Republic of";"Gyeongju-si";"KR";"129.25";"35.83333"
"Korea, Republic of";"Yeonggwang-gun";"KR";"126.43616";"35.28711"
"Korea, Republic of";"Busan & Ulsan";"KR";NA;NA
"Korea, Republic of";"Ulsan";"KR";"129.31667";"35.53722"
"Lithuania";"VISAGINAS";"LT";"26.43984";"55.59678"
"Mexico";"ALTO LUCERO";"MX";"-96.55942";"19.74591"
"Netherlands";"BORSSELE";"NL";"3.73472";"51.42333"
"Netherlands";"DODEWAARD";"NL";"5.65556";"51.9125"
"Pakistan";"KUNDIAN";"PK";"71.47892";"32.45775"
"Pakistan";"Karachi";"PK";"67.0104";"24.8608"
"Romania";"CERNAVODA";"RO";"28.03273";"44.33957"
"Russia";"OBNINSK";"RU";"36.61006";"55.09681"
"Russia";"BALAKOVO";"RU";"47.8007";"52.02782"
"Russia";"ZARECHNYY";"RU";"45.19227";"53.20356"
"Russia";"Bilibino";"RU";"166.43721";"68.05464"
"Russia";"UDOMLYA";"RU";"34.9925";"57.87944"
"Russia";"POLYARNYYE ZORI";"RU";"32.49806";"67.36611"
"Russia";"KURCHATOV";"RU";"35.6521";"51.6601"
"Russia";"SOSNOVYY BOR";"RU";"29.08574";"59.8996"
"Russia";"NOVOVORONEZH";"RU";"39.21732";"51.30719"
"Russia";"VOLGODONSK";"RU";"42.15139";"47.51361"
"Russia";"DESNOGORSK";"RU";"33.28151";"54.15077"
"Slovakia";"Jaslovske Bohunice";"SK";"17.64736";"48.47553"
"Slovakia";"LEVICE";"SK";"18.60705";"48.21563"
"Slovakia";"Jaslovské Bohunice";"SK";NA;NA
"Slovenia";"KRSKO";"SI";"15.46063";"45.95137"
"South Africa";"DUYNEFONTEIN";"ZA";"18.44882";"-33.6676"
"Spain";"ALMARAZ";"ES";"-5.67698";"39.81416"
"Spain";"ASCO";"ES";"0.56667";"41.18333"
"Spain";"COFRENTES";"ES";"-1.06061";"39.22926"
"Spain";"ALMONACID DE ZORITA";"ES";"-2.8504";"40.32932"
"Spain";"SANTA MARIA DE GARONA";"ES";"-3.20582";"42.76483"
"Spain";"TRILLO";"ES";"-2.59265";"40.70086"
"Spain";"VANDELLOS";"ES";"0.83065";"41.01985"
"Sweden";"AGESTA";"SE";"18.08287";"59.20602"
"Sweden";"BARSEBACK";"SE";"12.95";"55.76667"
"Sweden";"OESTHAMMAR";"SE";"18.26968";"60.24156"
"Sweden";"OSKARSHAMN";"SE";"16.44837";"57.26455"
"Sweden";"RINGHALS";"SE";"12.08333";"57.25"
"Switzerland";"BEZNAU";"CH";"8.23093";"47.55565"
"Switzerland";"DAENIKEN";"CH";"7.98021";"47.35397"
"Switzerland";"LEIBSTADT";"CH";"8.17611";"47.5879"
"Switzerland";"MUEHLEBERG";"CH";"7.26102";"46.95466"
"Switzerland";"1522 Lucens";"CH";"6.83931";"46.70854"
"Ukraine";"PRIPYAT";"UA";"30.06558";"51.40504"
"Ukraine";"NETESHIN";"UA";"26.64171";"50.34004"
"Ukraine";"KUZNETSOVSK";"UA";"25.84738";"51.3509"
"Ukraine";"NIKOLAYEV OBLAST";"UA";"31.9974";"46.96591"
"Ukraine";"ENERGODAR";"UA";"34.6574";"47.49865"
"United Kingdom";"RIVER SEVERN";"GB";"-2.63611";"51.61167"
"United Kingdom";"BLACKWATER ESTUARY";"GB";NA;NA
"United Kingdom";"SEASCALE";"GB";"-3.47961";"54.39831"
"United Kingdom";"ANNAN";"GB";"-3.25647";"54.98839"
"United Kingdom";"DOUNREAY CAITHNESS";"GB";NA;NA
"United Kingdom";"ROMNEY MARSH";"GB";"0.91504";"51.02299"
"United Kingdom";"HARTLEPOOL";"GB";"-1.21028";"54.68554"
"United Kingdom";"HEYSHAM";"GB";"-2.89322";"54.04367"
"United Kingdom";"HINKLEY POINT";"GB";"-3.13035";"51.20871"
"United Kingdom";"HUNTERSTON";"GB";"-4.88333";"55.71667"
"United Kingdom";"OLDBURY ON SEVERN";"GB";"-2.56556";"51.62972"
"United Kingdom";"DOUNREAY";"GB";"-3.73333";"58.56667"
